City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,79.5,81,7,15.82,PF,1614441311
1,port elizabeth,-33.918,25.5701,73.0,74,89,8.01,ZA,1614441338
2,menongue,-14.6585,17.691,77.83,68,0,3.4,AO,1614441503
3,pingliang,35.5392,106.6861,31.55,83,100,10.29,CN,1614441504
4,katobu,-4.9408,122.5276,76.59,90,100,5.73,ID,1614441504
5,hilo,19.7297,-155.09,68.0,83,90,2.48,US,1614441504
6,arraial do cabo,-22.9661,-42.0278,86.0,66,40,21.85,BR,1614441497
7,paamiut,61.994,-49.6678,19.22,93,100,17.81,GL,1614441504
8,hermanus,-34.4187,19.2345,78.01,59,0,7.0,ZA,1614441505
9,butaritari,3.0707,172.7902,80.8,78,100,14.65,KI,1614441505
10,vaini,-21.2,-175.2,68.0,100,75,2.3,TO,1614441505
11,porangatu,-13.4408,-49.1486,78.76,86,93,5.39,BR,1614441505
12,tual,-5.6667,132.75,83.89,78,100,16.15,ID,1614441505
13,vardo,70.3705,31.1107,28.4,80,75,4.61,NO,1614441505
14,albany,42.6001,-73.9662,37.99,93,90,12.66,US,1614441502
15,kaitangata,-46.2817,169.8464,56.3,96,95,4.41,NZ,1614441506
16,acapulco,16.8634,-99.8901,78.8,78,1,6.91,MX,1614441506
17,georgetown,5.4112,100.3354,82.4,74,20,5.75,MY,1614441317
18,bredasdorp,-34.5322,20.0403,78.8,50,0,20.71,ZA,1614441506
19,udachnyy,66.4167,112.4,-25.35,81,100,2.19,RU,1614441506
20,longyearbyen,78.2186,15.6401,17.6,73,75,5.75,SJ,1614441507
21,kolaras,25.2333,77.6,77.27,28,18,4.63,IN,1614441507
22,coquimbo,-29.9533,-71.3436,68.0,68,20,9.22,CL,1614441356
23,hoa binh,20.8133,105.3383,62.6,82,75,6.91,VN,1614441507
24,mataura,-46.1927,168.8643,57.0,96,100,0.49,NZ,1614441507
25,bluff,-46.6,168.3333,57.0,96,100,5.14,NZ,1614441508
26,sitka,57.0531,-135.33,37.4,87,90,4.61,US,1614441508
27,carnarvon,-24.8667,113.6333,75.2,83,0,13.8,AU,1614441508
28,montbrison,45.6667,4.0833,48.2,61,90,11.5,FR,1614441508
29,provideniya,64.3833,-173.3,-11.43,76,0,8.75,RU,1614441508
30,lavrentiya,65.5833,-171.0,-20.25,82,0,11.05,RU,1614441509
31,brae,60.3964,-1.353,46.4,87,90,16.11,GB,1614441509
32,taybad,34.74,60.7756,39.79,50,0,9.17,IR,1614441509
33,cunha,-23.0744,-44.9597,75.2,94,75,4.61,BR,1614441509
34,tvoroyri,61.5556,-6.8111,46.4,93,75,11.5,FO,1614441509
35,hithadhoo,-0.6,73.0833,83.26,66,48,8.19,MV,1614441510
36,kumluca,36.3703,30.2869,57.7,59,0,2.51,TR,1614441510
37,mangan,27.5167,88.5333,59.34,83,51,3.09,IN,1614441510
38,shingu,33.7333,135.9833,47.21,80,100,9.57,JP,1614441510
39,jining,35.405,116.5814,45.97,82,93,10.63,CN,1614441510
40,hobart,-42.8794,147.3294,59.0,77,90,5.75,AU,1614441510
41,tiksi,71.6872,128.8694,-26.41,99,50,1.23,RU,1614441510
42,rikitea,-23.1203,-134.9692,77.09,79,72,20.36,PF,1614441511
43,krasnomayskiy,57.6194,34.4099,31.6,99,100,7.36,RU,1614441511
44,bocana de paiwas,12.7857,-85.1227,77.54,75,67,15.88,NI,1614441511
45,bethel,41.3712,-73.414,42.8,87,90,4.61,US,1614441331
46,busselton,-33.65,115.3333,63.0,79,100,14.0,AU,1614441512
47,kapaa,22.0752,-159.319,73.4,73,90,21.85,US,1614441512
48,timra,62.487,17.3257,45.0,87,75,4.61,SE,1614441512
49,cherskiy,68.75,161.3,-30.15,100,25,1.86,RU,1614441512
50,kamenka,51.3223,42.7678,21.7,85,94,17.74,RU,1614441512
51,barrow,71.2906,-156.7887,-20.2,69,90,4.61,US,1614441512
52,darhan,49.4867,105.9228,-3.32,83,16,3.62,MN,1614441512
53,takoradi,4.8845,-1.7554,83.26,74,73,9.53,GH,1614441513
54,iqaluit,63.7506,-68.5145,-22.0,63,1,3.44,CA,1614441513
55,savelugu,9.6244,-0.8253,101.41,8,22,6.08,GH,1614441513
56,khatanga,71.9667,102.5,-34.62,79,18,0.89,RU,1614441513
57,dauphin,51.1494,-100.0502,-9.4,59,90,6.91,CA,1614441513
58,bambous virieux,-20.3428,57.7575,80.6,74,75,6.91,MU,1614441514
59,nikolskoye,59.7035,30.7861,35.6,87,90,11.18,RU,1614441514
60,punta arenas,-53.15,-70.9167,68.0,45,0,12.66,CL,1614441263
61,ballina,-28.8667,153.5667,73.4,94,99,3.44,AU,1614441345
62,sao filipe,14.8961,-24.4956,72.36,63,0,15.43,CV,1614441514
63,kibakwe,-6.7167,36.3667,68.09,86,100,3.96,TZ,1614441514
64,sargatskoye,55.6101,73.4972,-20.99,86,21,8.52,RU,1614441514
65,hailey,43.5196,-114.3153,15.8,62,75,9.22,US,1614441515
66,nortelandia,-14.4547,-56.8028,84.29,72,100,4.81,BR,1614441515
67,itarema,-2.9248,-39.9167,83.32,74,100,11.39,BR,1614441515
68,prieska,-29.6641,22.7474,92.89,13,7,2.08,ZA,1614441516
69,teya,60.3778,92.6267,-14.08,84,100,6.98,RU,1614441516
70,sambava,-14.2667,50.1667,81.05,79,15,1.9,MG,1614441516
71,coronado,32.6859,-117.1831,51.8,87,1,4.61,US,1614441516
72,husavik,66.0449,-17.3389,46.4,66,75,27.63,IS,1614441516
73,ponta do sol,32.6667,-17.1,64.4,59,40,16.11,PT,1614441516
74,chernyshevskiy,63.0128,112.4714,-26.63,88,91,4.34,RU,1614441517
75,severo-kurilsk,50.6789,156.125,25.45,93,100,32.08,RU,1614441517
76,ukiah,39.1502,-123.2078,42.01,65,1,5.64,US,1614441517
77,upernavik,72.7868,-56.1549,13.24,95,100,22.88,GL,1614441517
78,mayo,38.8876,-76.5119,43.0,100,90,8.05,US,1614441517
79,tazovskiy,67.4667,78.7,-30.06,84,48,5.73,RU,1614441518
80,saint-augustin,51.226,-58.6502,22.89,92,99,20.38,CA,1614441518
81,nkpor,6.1516,6.8446,97.11,30,59,1.95,NG,1614441518
82,kodiak,57.79,-152.4072,35.6,80,90,3.44,US,1614441518
83,jega,12.2175,4.3792,99.77,8,0,7.25,NG,1614441519
84,prado,-17.3411,-39.2208,82.96,63,97,8.41,BR,1614441306
85,port alfred,-33.5906,26.891,72.0,80,96,7.0,ZA,1614441519
86,ushuaia,-54.8,-68.3,59.0,58,0,3.44,AR,1614441474
87,lakes entrance,-37.8811,147.981,57.99,94,71,3.85,AU,1614441519
88,lebu,-37.6167,-73.65,62.37,72,5,20.15,CL,1614441519
89,yagodnoye,62.55,149.6667,-26.12,83,47,0.38,RU,1614441520
90,roma,43.2128,-75.4557,39.0,75,90,5.75,US,1614441412
91,yumen,40.2833,97.2,26.46,66,100,15.9,CN,1614441520
92,la ronge,55.1001,-105.2842,-16.6,63,100,2.3,CA,1614441520
93,upata,8.0086,-62.3989,83.17,50,91,6.35,VE,1614441520
94,saint-philippe,-21.3585,55.7679,82.4,74,40,3.44,RE,1614441520
95,ano mera,37.45,25.4,60.8,55,20,13.8,GR,1614441520
96,inuvik,68.3499,-133.7218,-32.8,75,84,3.44,CA,1614441397
97,mahebourg,-20.4081,57.7,80.6,74,75,6.91,MU,1614441521
98,pilar,-9.5972,-35.9567,84.2,70,75,14.97,BR,1614441521
99,jamestown,42.097,-79.2353,39.99,95,90,12.03,US,1614441425
100,rio claro,-22.4114,-47.5614,80.6,69,75,10.36,BR,1614441521
101,castro,-24.7911,-50.0119,70.97,77,78,10.76,BR,1614441521
102,muzhi,65.3667,64.6667,-9.65,91,67,6.78,RU,1614441521
103,maureni,45.4039,21.5025,50.0,53,0,17.27,RO,1614441522
104,asau,46.4333,26.4,36.0,70,100,3.29,RO,1614441522
105,thompson,55.7435,-97.8558,-27.4,68,75,3.44,CA,1614441522
106,saint anthony,45.0205,-93.218,37.99,80,1,5.75,US,1614441522
107,kaeo,-35.1,173.7833,61.0,95,24,5.01,NZ,1614441522
108,tomatlan,19.9333,-105.25,86.86,32,29,1.99,MX,1614441522
109,puerto ayora,-0.7393,-90.3518,82.0,83,75,13.8,EC,1614441522
