City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,76.84,78,18,19.91,PF,1614456980
albany,42.6001,-73.9662,44.01,96,100,1.01,US,1614456969
saskylakh,71.9167,114.0833,-27.83,76,27,2.51,RU,1614456980
mar del plata,-38.0023,-57.5575,73.99,88,20,19.57,AR,1614456962
coos bay,43.3665,-124.2179,50.0,62,90,9.22,US,1614456721
punta arenas,-53.15,-70.9167,78.8,27,0,14.97,CL,1614456849
kahului,20.8947,-156.47,77.0,61,75,18.41,US,1614456980
newport,51.5877,-2.9984,46.0,86,0,5.91,GB,1614456858
vaini,-21.2,-175.2,78.8,78,75,3.44,TO,1614456980
kitale,1.0157,35.0062,61.34,44,0,2.98,KE,1614456981
vostok,46.4856,135.8833,14.94,88,100,6.8,RU,1614456981
aquiraz,-3.9014,-38.3911,84.2,70,20,12.66,BR,1614456981
busselton,-33.65,115.3333,59.0,88,2,13.87,AU,1614456981
bluff,-46.6,168.3333,57.99,97,99,1.99,NZ,1614456981
hobart,-42.8794,147.3294,51.8,87,20,2.28,AU,1614456903
gao,16.6362,1.637,73.15,17,16,4.21,ML,1614456982
carnarvon,-24.8667,113.6333,73.4,88,75,14.97,AU,1614456982
los llanos de aridane,28.6585,-17.9182,62.6,48,20,17.27,ES,1614456700
torbay,47.6666,-52.7314,26.01,46,75,6.91,CA,1614456982
tshane,-24.0196,21.8684,73.9,55,16,13.47,BW,1614456983
noumea,-22.2763,166.4572,79.0,78,0,4.61,NC,1614456718
kloulklubed,7.0419,134.2556,77.0,94,75,3.44,PW,1614456983
castro,-24.7911,-50.0119,67.89,88,96,13.04,BR,1614456983
dingle,10.9995,122.6711,75.87,89,0,5.46,PH,1614456983
qaanaaq,77.484,-69.3632,11.26,78,100,7.76,GL,1614456983
thompson,55.7435,-97.8558,-5.8,37,75,9.22,CA,1614456907
ostrovnoy,68.0531,39.5131,20.59,96,96,10.27,RU,1614456984
nueva gerona,21.8833,-82.8,80.51,64,2,19.6,CU,1614456984
isangel,-19.55,169.2667,77.97,81,100,11.39,VU,1614456984
gornyy,55.1153,83.9059,-21.62,88,59,7.05,RU,1614456984
saint-augustin,51.226,-58.6502,25.92,95,100,19.82,CA,1614456985
grand gaube,-20.0064,57.6608,80.01,73,10,5.01,MU,1614456985
avarua,-21.2078,-159.775,80.6,89,75,19.57,CK,1614456985
mataura,-46.1927,168.8643,57.99,97,100,1.99,NZ,1614456985
valenca,-13.3703,-39.0731,80.74,71,2,6.17,BR,1614456985
felanitx,39.4696,3.1483,54.0,81,20,4.61,ES,1614456986
nikolskoye,59.7035,30.7861,33.8,80,90,11.18,RU,1614456986
hilo,19.7297,-155.09,73.4,78,90,4.61,US,1614456986
port elizabeth,-33.918,25.5701,69.8,83,90,10.36,ZA,1614456987
khatanga,71.9667,102.5,-36.09,81,58,1.45,RU,1614456987
saint-philippe,-21.3585,55.7679,80.6,74,75,2.3,RE,1614456987
chara,56.9064,118.2631,-21.57,69,2,2.82,RU,1614456987
comodoro rivadavia,-45.8667,-67.5,66.2,88,40,4.61,AR,1614456988
egvekinot,66.3167,-179.1667,-20.88,85,3,9.33,RU,1614456988
kapaa,22.0752,-159.319,73.99,73,75,21.85,US,1614456988
west bay,19.3667,-81.4167,86.0,58,40,17.27,KY,1614456988
okhtyrka,50.3104,34.8988,34.14,96,100,7.09,UA,1614456989
atuona,-9.8,-139.0333,80.13,79,17,14.36,PF,1614456989
tiksi,71.6872,128.8694,-27.09,99,57,2.28,RU,1614456989
odweyne,9.4092,45.064,70.59,35,19,8.3,SO,1614456989
tasiilaq,65.6145,-37.6368,30.2,93,90,17.27,GL,1614456989
ushuaia,-54.8,-68.3,75.2,33,0,6.91,AR,1614456989
port alfred,-33.5906,26.891,70.0,87,88,1.99,ZA,1614456990
senador jose porfirio,-2.5908,-51.9542,82.06,78,9,5.14,BR,1614456990
arraial do cabo,-22.9661,-42.0278,82.4,69,40,16.11,BR,1614456990
georgetown,5.4112,100.3354,75.2,88,20,4.61,MY,1614456991
charagua,-19.8,-63.2167,77.0,83,75,4.97,BO,1614456991
abapo,-18.8333,-63.4667,81.28,62,64,5.61,BO,1614456991
santa cruz,-17.8,-63.1667,86.0,83,75,5.75,BO,1614456978
marystown,47.1666,-55.1483,26.22,89,100,13.85,CA,1614456991
semey,50.4111,80.2275,-4.38,89,97,8.43,KZ,1614456991
sabzevar,36.2126,57.6819,40.69,51,0,3.0,IR,1614456992
fortuna,40.5982,-124.1573,53.01,66,75,16.11,US,1614456992
bredasdorp,-34.5322,20.0403,68.0,83,27,12.66,ZA,1614456992
luderitz,-26.6481,15.1594,65.93,83,0,10.33,NA,1614456992
cape town,-33.9258,18.4232,73.99,60,0,16.11,ZA,1614456993
mbandaka,0.0487,18.2603,77.14,69,99,3.06,CD,1614456993
vanimo,-2.6741,141.3028,77.27,85,97,4.7,PG,1614456993
kadoma,34.7333,135.5833,37.99,75,20,4.61,JP,1614456993
victoria,22.2855,114.1577,66.0,87,100,1.01,HK,1614456726
henties bay,-22.116,14.2845,66.0,87,14,5.01,NA,1614456993
hay river,60.8156,-115.7999,-16.6,58,54,4.61,CA,1614456993
bantry,51.6833,-9.45,48.2,76,90,4.61,IE,1614456994
leh,34.1667,77.5833,17.51,85,85,3.15,IN,1614456994
senges,-24.1128,-49.4636,72.0,99,18,5.01,BR,1614456994
catuday,16.2923,119.8062,77.45,81,76,3.0,PH,1614456994
biak,-0.9131,122.8766,77.74,78,100,4.45,ID,1614456994
jamestown,42.097,-79.2353,39.99,84,90,12.19,US,1614456995
gladstone,-23.85,151.25,78.8,78,75,8.05,AU,1614456918
soure,-0.7167,-48.5233,80.62,82,6,11.3,BR,1614456995
ilesha,7.1371,5.2583,79.12,78,9,5.82,NG,1614456995
gat,31.61,34.7642,61.0,72,0,4.61,IL,1614456995
beira,-19.8436,34.8389,80.6,78,90,16.11,MZ,1614456996
barrow,71.2906,-156.7887,-16.6,69,90,8.05,US,1614456996
svetlogorsk,52.6333,29.7333,33.15,97,100,10.96,BY,1614456996
coahuayana,18.7333,-103.6833,86.0,30,1,7.25,MX,1614456996
kavieng,-2.5744,150.7967,82.45,78,89,10.67,PG,1614456997
cayenne,4.9333,-52.3333,78.8,94,75,11.5,GF,1614456997
vila franca do campo,37.7167,-25.4333,61.0,88,20,4.61,PT,1614456997
east london,-33.0153,27.9116,71.44,81,75,13.69,ZA,1614456747
datong,40.0936,113.2914,31.41,97,100,5.66,CN,1614456998
pierre,44.3683,-100.351,51.01,39,1,8.05,US,1614456998
bambous virieux,-20.3428,57.7575,80.01,78,40,11.5,MU,1614456998
lata,40.1629,-8.3327,57.99,84,85,3.51,PT,1614456998
puerto ayora,-0.7393,-90.3518,84.2,79,75,13.8,EC,1614456998
cherskiy,68.75,161.3,-29.76,85,43,1.5,RU,1614456999
lithakia,37.7167,20.8333,50.0,93,0,4.61,GR,1614456999
san juan,-31.5375,-68.5364,94.48,25,4,7.43,AR,1614456999
gizo,-8.103,156.8419,79.43,79,100,6.49,SB,1614457000
pagsangahan,13.2158,122.5431,78.62,84,0,6.46,PH,1614457000
grindavik,63.8424,-22.4338,42.8,75,90,32.21,IS,1614457000
touros,-5.1989,-35.4608,82.4,74,40,13.8,BR,1614457000
chuy,-33.6971,-53.4616,76.01,70,25,14.67,UY,1614457001
saint george,37.1041,-113.5841,52.0,13,1,10.36,US,1614457001
bairiki,1.3292,172.9752,80.6,83,20,6.91,KI,1614457001
sitka,57.0531,-135.33,41.0,81,90,11.5,US,1614457001
saint anthony,45.0205,-93.218,48.2,53,1,2.62,US,1614457002
bengkulu,-3.8004,102.2655,76.6,79,39,4.83,ID,1614457002
parana,-31.732,-60.5238,98.01,34,6,1.99,AR,1614457002
salalah,17.0151,54.0924,77.0,69,0,2.3,OM,1614457002
guerrero negro,27.9769,-114.0611,63.66,53,100,12.03,MX,1614457002
inirida,3.8653,-67.9239,88.99,61,25,1.16,CO,1614457002
racine,42.7495,-88.0751,48.2,57,89,5.75,US,1614457003
dikson,73.5069,80.5464,-13.04,89,100,19.33,RU,1614457003
pangnirtung,66.1451,-65.7125,-23.8,69,1,1.45,CA,1614457003
cidreira,-30.1811,-50.2056,76.96,70,10,16.69,BR,1614457003
iqaluit,63.7506,-68.5145,-20.0,57,1,4.61,CA,1614457004
smolenka,52.1352,113.4974,-13.0,64,0,2.24,RU,1614457004
chokurdakh,70.6333,147.9167,-26.7,100,81,0.54,RU,1614457004
presidencia roque saenz pena,-26.7852,-60.4388,98.01,33,2,5.01,AR,1614457004
